Date,Close,Volume
2009-03-02,52.067420959472656,426452600
2009-03-03,51.67654037475586,443761000
2009-03-04,52.90079879760742,462753100
2009-03-05,50.73992156982422,485549400
2009-03-06,50.828426361083984,490470000
2009-03-09,50.23103713989258,379905300
2009-03-10,53.22529220581055,406227900
2009-03-11,53.57191467285156,356648300
2009-03-12,55.681148529052734,409702700
2009-03-13,56.116275787353516,337474700
2009-03-16,55.94664764404297,360644900
2009-03-17,57.65767288208008,356814300
2009-03-18,58.94827651977539,473273200
2009-03-19,58.21815872192383,428520400
2009-03-20,56.97845458984375,371078200
2009-03-23,61.0711669921875,419933300
2009-03-24,59.86787033081055,330271000
2009-03-25,60.49921798706055,441775100
2009-03-26,61.732215881347656,422025200
2009-03-27,60.61808395385742,322332300
2009-03-30,58.5234375,324108500
2009-03-31,59.065650939941406,364238300
2009-04-01,60.20954895019531,377018300
2009-04-02,61.969940185546875,476230700
2009-04-03,62.5864372253418,284646300
2009-04-06,62.09619140625,264866600
2009-04-07,60.647762298583984,258947800
2009-04-08,61.301414489746094,230402800
2009-04-09,63.73774337768555,269653500
2009-04-13,63.75259780883789,224847500
2009-04-14,62.653282165527344,276598800
2009-04-15,63.32175827026367,250726100
2009-04-16,64.250244140625,335202900
2009-04-17,64.68109130859375,262649000
2009-04-20,61.969940185546875,293690100
2009-04-21,63.18065643310547,114090900
2009-04-22,62.79439926147461,340395200
2009-04-23,63.410945892333984,324903700
2009-04-24,64.36911010742188,287703000
2009-04-27,63.76003646850586,289581600
2009-04-28,63.55947494506836,247926300
2009-04-29,64.91134643554688,311505700
2009-04-30,64.93362426757812,301419800
2009-05-01,65.28268432617188,236110300
2009-05-04,67.503662109375,287120000
2009-05-05,67.27334594726562,243036300
2009-05-06,68.43952178955078,291941000
2009-05-07,67.48876953125,317728000
2009-05-08,69.06342315673828,299081700
2009-05-11,67.77098846435547,247923600
2009-05-12,67.57047271728516,282431300
2009-05-13,65.86952209472656,269619100
2009-05-14,66.43399810791016,260098700
2009-05-15,65.89179992675781,271502700
2009-05-18,67.76358795166016,241447400
2009-05-19,67.68190002441406,206102200
2009-05-20,67.2287826538086,285722200
2009-05-21,66.26319885253906,258988400
2009-05-22,66.12205505371094,166811900
2009-05-26,67.81560516357422,236318500
2009-05-27,66.60484313964844,246015800
2009-05-28,67.53333282470703,289095000
2009-05-29,68.72920227050781,258641500
2009-06-01,70.39302062988281,276246800
2009-06-02,70.45246124267578,230874500
2009-06-03,69.56114196777344,235310500
2009-06-04,70.21476745605469,210102300
2009-06-05,70.22962951660156,284257900
2009-06-08,69.93992614746094,238565100
2009-06-09,70.29649353027344,225125500
2009-06-10,70.11822509765625,296100400
2009-06-11,70.4301528930664,275414200
2009-06-12,70.62326049804688,184361800
2009-06-15,69.0040512084961,224190500
2009-06-16,68.06814575195312,227319000
2009-06-17,68.00127410888672,223445200
2009-06-18,68.49893188476562,211725100
2009-06-19,68.75141906738281,215655600
2009-06-22,66.68976593017578,251913600
2009-06-23,66.74203491210938,188309800
2009-06-24,67.31723022460938,211577700
2009-06-25,68.78131103515625,279411000
2009-06-26,68.60203552246094,167579000
2009-06-29,69.24441528320312,168481300
2009-06-30,68.6841812133789,228888200
2009-07-01,68.96804809570312,173041100
2009-07-02,67.08568572998047,212309900
2009-07-06,67.0782241821289,174499600
2009-07-07,65.77848815917969,197088900
2009-07-08,65.73365020751953,248050500
2009-07-09,65.86064147949219,163777600
2009-07-10,65.7037582397461,173520300
2009-07-13,67.30229949951172,217413500
2009-07-14,67.6832504272461,181487400
2009-07-15,69.66272735595703,220877900
2009-07-16,69.55066680908203,231174500
2009-07-17,70.31256866455078,138561700
2009-07-20,71.05956268310547,164179400
2009-07-21,71.38827514648438,217718300
2009-07-22,71.3733139038086,196068100
2009-07-23,72.94939422607422,258795500
2009-07-24,73.2481918334961,154003100
2009-07-27,73.46479034423828,159259400
2009-07-28,73.1212158203125,186685200
2009-07-29,72.94193267822266,194399300
2009-07-30,73.70384216308594,225575400
2009-07-31,73.80841064453125,207358000
2009-08-03,75.0260238647461,175776900
2009-08-04,75.22021484375,176714600
2009-08-05,75.00359344482422,184726400
2009-08-06,74.6152114868164,193203800
2009-08-07,75.59368133544922,220640900
2009-08-10,75.43682861328125,130898700
2009-08-11,74.49564361572266,157301000
2009-08-12,75.29492950439453,219052400
2009-08-13,75.87007904052734,176449500
2009-08-14,75.28743743896484,199616100
2009-08-17,73.43495178222656,237667500
2009-08-18,74.01758575439453,173461500
2009-08-19,74.6674575805664,192812800
2009-08-20,75.43682861328125,174131300
2009-08-21,76.91585540771484,224605000
2009-08-24,76.90839385986328,191279000
2009-08-25,77.05775451660156,215310600
2009-08-26,77.06524658203125,194620700
